latitude,longitude,mag,magType,time,place,depth,mag_group,date
14.0839,119.4375,5.1,mb,2022-03-13 21:25:22.404000+00:00,"69 km WNW of Cabra, Philippines",10.0,5.0-5.9,2022-Mar-13
14.096,119.3811,6.4,mww,2022-03-13 21:05:49.469000+00:00,"75 km WNW of Cabra, Philippines",11.0,6.0-6.9,2022-Mar-13
13.6021,120.8739,5.3,mww,2022-02-21 07:22:18.887000+00:00,"6 km S of Tingloy, Philippines",139.31,5.0-5.9,2022-Feb-21
15.6262,118.237,5.3,mww,2022-01-30 00:17:12.896000+00:00,"167 km WSW of Ilioilio, Philippines",10.0,5.0-5.9,2022-Jan-30
13.6205,120.7577,5.5,mww,2021-12-13 09:12:33.433000+00:00,"Mindoro, Philippines",133.39,5.0-5.9,2021-Dec-13
13.9389,120.6866,5.3,mww,2021-10-07 18:14:54.009000+00:00,"2 km E of Bungahan, Philippines",160.14,5.0-5.9,2021-Oct-07
12.8716,120.9142,5.4,mww,2021-10-02 21:59:26.680000+00:00,"11 km NE of Tuban, Philippines",8.72,5.0-5.9,2021-Oct-02
13.8941,120.5097,5.7,mww,2021-09-26 17:12:05.243000+00:00,"12 km W of Talisay, Philippines",83.0,5.0-5.9,2021-Sep-26
13.7016,120.7817,5.9,mww,2021-08-13 15:08:31.218000+00:00,"10 km WNW of Tingloy, Philippines",121.0,5.0-5.9,2021-Aug-13
13.7977,120.7434,5.8,mww,2021-07-23 20:57:18.713000+00:00,"6 km SE of Hukay, Philippines",120.58,5.0-5.9,2021-Jul-23
13.7047,120.7259,6.7,mww,2021-07-23 20:48:57.357000+00:00,"15 km S of Hukay, Philippines",110.0,6.0-6.9,2021-Jul-23
14.7572,119.3391,5.1,mww,2021-05-23 04:41:33.051000+00:00,"82 km WSW of San Nicolas, Philippines",10.0,5.0-5.9,2021-May-23
13.5716,120.8478,5.8,mww,2021-05-12 01:09:27.067000+00:00,"10 km SSW of Tingloy, Philippines",113.0,5.0-5.9,2021-May-12
15.609,119.4352,5.0,mww,2021-03-11 07:24:36.994000+00:00,"49 km WSW of Bolitoc, Philippines",10.0,5.0-5.9,2021-Mar-11
15.99,119.5896,5.0,mb,2021-02-25 02:55:30.556000+00:00,"19 km W of Ilioilio, Philippines",10.0,5.0-5.9,2021-Feb-25
11.9604,120.7767,5.0,mww,2021-02-08 23:24:39.901000+00:00,"48 km SW of Santa Teresa, Philippines",10.0,5.0-5.9,2021-Feb-08
14.5452,122.976,5.1,mww,2021-02-04 22:00:43.301000+00:00,"35 km NE of Paracale, Philippines",10.0,5.0-5.9,2021-Feb-04
14.632,118.7945,5.2,mww,2021-02-04 07:48:10.728000+00:00,"142 km WSW of San Nicolas, Philippines",10.0,5.0-5.9,2021-Feb-04
13.4978,120.5059,5.0,mb,2021-01-29 05:12:23.257000+00:00,"9 km NE of Harrison, Philippines",43.3,5.0-5.9,2021-Jan-29
19.0221,120.3133,5.0,mww,2021-01-12 13:38:13.315000+00:00,"Babuyan Islands region, Philippines",10.0,5.0-5.9,2021-Jan-12
13.2955,122.3301,5.4,mww,2020-12-25 10:04:34.286000+00:00,"20 km W of Silongin, Philippines",10.0,5.0-5.9,2020-Dec-25
13.82,120.6539,6.3,mww,2020-12-24 23:43:41.964000+00:00,"2 km ESE of Calatagan, Philippines",109.0,6.0-6.9,2020-Dec-24
12.9771,124.5106,5.4,mww,2020-12-07 14:37:24.035000+00:00,"36 km NNE of Biri, Philippines",68.9,5.0-5.9,2020-Dec-07
11.8301,124.2432,5.0,mww,2020-11-15 06:35:14.716000+00:00,"21 km ESE of Limbuhan, Philippines",20.88,5.0-5.9,2020-Nov-15
13.6785,120.2608,5.4,mww,2020-10-16 20:06:27.481000+00:00,"4 km SSE of Looc, Philippines",62.32,5.0-5.9,2020-Oct-16
13.6082,120.7526,5.6,mww,2020-10-04 18:16:53.824000+00:00,"14 km WSW of Tingloy, Philippines",121.0,5.0-5.9,2020-Oct-04
12.0257,124.1272,6.6,mww,2020-08-18 00:03:48.566000+00:00,"13 km E of San Pedro, Philippines",10.0,6.0-6.9,2020-Aug-18
17.2384,119.8753,5.0,mww,2020-06-22 08:02:44.092000+00:00,"57 km W of Darapidap, Philippines",10.0,5.0-5.9,2020-Jun-22
12.7147,120.9623,5.3,mww,2020-06-05 13:38:02.886000+00:00,"9 km NE of Banos, Philippines",44.32,5.0-5.9,2020-Jun-05
16.6027,120.3749,5.1,mww,2020-05-28 05:17:29.548000+00:00,"6 km ESE of San Fernando, Philippines",77.46,5.0-5.9,2020-May-28
15.6287,121.5658,5.2,mww,2020-05-23 02:10:27.512000+00:00,"14 km S of Suklayin, Philippines",43.46,5.0-5.9,2020-May-23
14.0741,120.4703,5.3,mww,2020-05-09 19:18:13.024000+00:00,"17 km WNW of San Diego, Philippines",99.16,5.0-5.9,2020-May-09
14.5105,124.0645,5.0,mww,2020-03-19 20:08:22.670000+00:00,"52 km NNW of Pandan, Philippines",22.5,5.0-5.9,2020-Mar-19
14.7161,119.0784,5.3,mww,2020-03-12 22:00:48.085000+00:00,"110 km WSW of San Nicolas, Philippines",10.0,5.0-5.9,2020-Mar-12
15.8708,119.2231,5.0,mb,2020-02-26 00:23:32.809000+00:00,"58 km W of Ilioilio, Philippines",10.0,5.0-5.9,2020-Feb-26
14.8741,122.7951,5.6,mww,2019-11-06 20:52:54.686000+00:00,"48 km ENE of Casuguran, Philippines",6.6,5.0-5.9,2019-Nov-06
15.053,122.2746,5.3,mww,2019-09-13 08:28:17.051000+00:00,"26 km ENE of Karligan, Philippines",48.13,5.0-5.9,2019-Sep-13
13.5027,120.9428,5.0,mww,2019-09-09 17:17:07.887000+00:00,"0 km W of Puerto Galera, Philippines",192.32,5.0-5.9,2019-Sep-09
12.8057,125.0549,5.0,mb,2019-08-03 21:10:56.522000+00:00,"15 km N of Cabodiongan, Philippines",41.6,5.0-5.9,2019-Aug-03
12.8557,124.9271,5.0,mb,2019-08-02 17:28:23.574000+00:00,"24 km NNW of Cabodiongan, Philippines",43.25,5.0-5.9,2019-Aug-02
18.7345,120.8764,5.5,mww,2019-05-06 02:48:42.702000+00:00,"21 km NNE of Pagudpud, Philippines",35.0,5.0-5.9,2019-May-06
12.3713,120.9321,5.7,mww,2019-05-04 01:05:09.527000+00:00,"8 km SW of San Agustin, Philippines",10.0,5.0-5.9,2019-May-04
14.9538,120.5149,6.1,mww,2019-04-22 09:11:12.013000+00:00,"3 km WSW of San Francisco, Philippines",21.84,6.0-6.9,2019-Apr-22
13.5638,120.87,5.4,mww,2019-03-16 09:58:19.127000+00:00,"9 km NW of Balatero, Philippines",118.55,5.0-5.9,2019-Mar-16
18.6542,120.3562,5.6,mww,2019-03-02 19:46:21.720000+00:00,"30 km NW of Davila, Philippines",15.68,5.0-5.9,2019-Mar-02
15.858,120.6186,5.5,mww,2019-02-06 10:25:20.540000+00:00,"1 km NNE of Guiling, Philippines",130.2,5.0-5.9,2019-Feb-06
14.1733,125.2939,5.0,mb,2018-11-13 17:33:30.180000+00:00,"106 km ENE of Gigmoto, Philippines",10.0,5.0-5.9,2018-Nov-13
12.3681,124.6636,5.1,mb,2018-10-17 18:34:50.850000+00:00,"0 km E of Cervantes, Philippines",101.9,5.0-5.9,2018-Oct-17
13.5571,120.8426,5.5,mww,2018-08-31 14:40:27.470000+00:00,"9 km NNE of Odala, Philippines",116.3,5.0-5.9,2018-Aug-31
13.5433,120.1548,5.0,mb,2018-08-13 01:37:55.380000+00:00,"22 km SSW of Looc, Philippines",35.0,5.0-5.9,2018-Aug-13
14.0197,120.6404,5.2,mww,2018-07-03 04:25:53.430000+00:00,"1 km SSW of Lian, Philippines",126.0,5.0-5.9,2018-Jul-03
14.9212,119.7097,5.4,mww,2018-06-17 09:46:24.630000+00:00,"Luzon, Philippines",25.0,5.0-5.9,2018-Jun-17
14.5708,123.9192,6.1,mww,2018-05-05 06:19:05.040000+00:00,"64 km NNW of Pandan, Philippines",18.0,6.0-6.9,2018-May-05
17.8712,122.2684,5.1,mb,2018-04-15 19:43:56.660000+00:00,"38 km E of Awallan, Philippines",46.0,5.0-5.9,2018-Apr-15
17.085,120.0504,5.0,mb,2018-01-20 19:56:02.510000+00:00,"41 km WSW of Calongbuyan, Philippines",21.7,5.0-5.9,2018-Jan-20
13.464,120.51,5.1,mb,2018-01-14 15:49:27.090000+00:00,"7 km NE of Paluan, Philippines",54.71,5.0-5.9,2018-Jan-14
14.0002,120.7252,5.4,mww,2017-10-22 14:21:01.450000+00:00,"0 km NNW of Putol, Philippines",209.39,5.0-5.9,2017-Oct-22
13.6372,120.8302,5.0,mb,2017-09-23 13:30:31.980000+00:00,"5 km WSW of Tingloy, Philippines",165.98,5.0-5.9,2017-Sep-23
14.0065,120.7391,6.2,mww,2017-08-11 05:28:25.790000+00:00,"1 km SE of Tuy, Philippines",172.0,6.0-6.9,2017-Aug-11
15.0447,120.3494,5.3,mww,2017-05-25 14:27:04.790000+00:00,"15 km ENE of Santa Fe, Philippines",75.46,5.0-5.9,2017-May-25
13.776,121.1158,5.0,mb,2017-04-08 07:29:09.630000+00:00,"4 km SSW of Ibaan, Philippines",10.0,5.0-5.9,2017-Apr-08
13.7701,120.9354,5.9,mww,2017-04-08 07:09:23.180000+00:00,"1 km NNW of Mabini, Philippines",14.26,5.0-5.9,2017-Apr-08
13.7049,120.9305,5.5,mww,2017-04-08 07:07:56.660000+00:00,"3 km S of Talaga, Philippines",10.22,5.0-5.9,2017-Apr-08
13.7668,120.9709,5.2,mb,2017-04-04 16:49:02.250000+00:00,"2 km SSW of Bolo, Philippines",10.0,5.0-5.9,2017-Apr-04
13.6826,121.1344,5.3,mb,2017-04-04 15:13:47.100000+00:00,"2 km N of Talahib Payap, Philippines",10.0,5.0-5.9,2017-Apr-04
13.5863,121.0513,5.1,mww,2017-04-04 12:58:45.540000+00:00,"5 km SSW of Ilihan, Philippines",18.16,5.0-5.9,2017-Apr-04
16.0975,119.5973,5.0,mb,2016-12-20 17:16:39.250000+00:00,"20 km W of Aloleng, Philippines",56.75,5.0-5.9,2016-Dec-20
16.0903,119.6652,5.0,mb,2016-12-20 13:51:17.200000+00:00,"13 km WSW of Aloleng, Philippines",50.18,5.0-5.9,2016-Dec-20
13.6122,120.7971,5.2,mb,2016-10-12 01:39:24.980000+00:00,"9 km SW of Tingloy, Philippines",124.01,5.0-5.9,2016-Oct-12
13.6579,120.7072,5.1,mb,2016-10-08 07:32:49.370000+00:00,"17 km W of Tingloy, Philippines",118.7,5.0-5.9,2016-Oct-08
16.4787,119.7489,5.4,mww,2016-10-02 13:40:04.750000+00:00,"17 km NW of Balingasay, Philippines",10.0,5.0-5.9,2016-Oct-02
10.9027,122.1945,5.4,mww,2016-08-15 11:32:02.630000+00:00,"21 km SE of Bugasong, Philippines",29.0,5.0-5.9,2016-Aug-15
16.5545,121.0118,5.1,mb,2016-06-10 18:52:08.520000+00:00,"14 km NW of Busilak, Philippines",36.67,5.0-5.9,2016-Jun-10
16.5742,121.0986,5.4,mww,2016-06-09 19:54:34.440000+00:00,"5 km WNW of Uddiawan, Philippines",8.0,5.0-5.9,2016-Jun-09
18.2038,120.178,5.4,mww,2016-03-12 04:00:27.490000+00:00,"35 km WNW of Callaguip, Philippines",10.0,5.0-5.9,2016-Mar-12
13.7942,122.3308,5.3,mb,2016-02-05 05:00:46.740000+00:00,"4 km E of San Francisco, Philippines",10.0,5.0-5.9,2016-Feb-05
13.8147,122.2589,5.2,mb,2016-02-04 22:41:37.680000+00:00,"4 km NW of San Francisco, Philippines",27.79,5.0-5.9,2016-Feb-04
12.8596,124.3748,5.2,mb,2015-12-20 09:28:51.820000+00:00,"19 km N of Biri, Philippines",111.1,5.0-5.9,2015-Dec-20
17.7537,120.5815,5.3,mww,2015-12-17 12:44:03.130000+00:00,"13 km E of San Juan, Philippines",69.65,5.0-5.9,2015-Dec-17
16.4895,119.8464,5.5,mww,2015-11-07 19:40:13.550000+00:00,"11 km NW of Binabalian, Philippines",37.0,5.0-5.9,2015-Nov-07
13.8654,120.6172,5.8,mww,2015-10-19 13:50:41.620000+00:00,"2 km W of Balitoc, Philippines",106.0,5.0-5.9,2015-Oct-19
13.4771,120.5114,5.0,mb,2015-08-09 04:49:50.610000+00:00,"8 km NE of Paluan, Philippines",90.65,5.0-5.9,2015-Aug-09
18.7989,120.9641,5.4,mb,2015-07-18 15:46:40.850000+00:00,"24 km NNW of Claveria, Philippines",10.0,5.0-5.9,2015-Jul-18
17.972,120.6844,5.2,mww,2015-07-05 12:56:47.600000+00:00,"3 km ESE of Espiritu, Philippines",13.14,5.0-5.9,2015-Jul-05
13.8112,120.6866,5.0,mb,2015-06-13 05:03:43.720000+00:00,"4 km SSW of Hukay, Philippines",137.22,5.0-5.9,2015-Jun-13
14.0028,120.6226,5.1,mb,2015-02-10 16:09:24.080000+00:00,"3 km W of Prinza, Philippines",134.89,5.0-5.9,2015-Feb-10
13.9766,124.5783,5.4,mwb,2015-02-02 15:13:39.750000+00:00,"29 km NE of Gigmoto, Philippines",17.0,5.0-5.9,2015-Feb-02
13.9268,120.6895,5.3,mb,2015-01-18 00:27:22.200000+00:00,"3 km ESE of Bungahan, Philippines",149.83,5.0-5.9,2015-Jan-18
13.9467,120.641,5.3,mb,2015-01-17 05:09:21.120000+00:00,"2 km W of Bungahan, Philippines",145.98,5.0-5.9,2015-Jan-17
14.7709,120.2456,5.9,mww,2015-01-10 19:32:00.320000+00:00,"5 km NW of Mabayo, Philippines",59.0,5.0-5.9,2015-Jan-10
13.7483,120.6673,5.5,mwb,2014-12-31 09:26:22.450000+00:00,"10 km SSE of Calatagan, Philippines",110.0,5.0-5.9,2014-Dec-31
15.9963,120.0729,5.0,mb,2014-12-16 17:06:41.170000+00:00,"Luzon, Philippines",56.95,5.0-5.9,2014-Dec-16
14.2324,124.4802,5.0,mb,2014-10-19 18:14:30.700000+00:00,"39 km ENE of Pandan, Philippines",52.56,5.0-5.9,2014-Oct-19
11.3267,122.1187,5.5,mwb,2014-10-03 08:05:44.270000+00:00,"7 km E of San Francisco, Philippines",19.45,5.0-5.9,2014-Oct-03
13.7046,124.4449,5.0,mb,2014-09-26 16:16:03.080000+00:00,"10 km SE of Gigmoto, Philippines",48.05,5.0-5.9,2014-Sep-26
15.1713,122.4347,5.2,mb,2014-09-03 13:43:58.310000+00:00,"47 km ENE of Karligan, Philippines",10.0,5.0-5.9,2014-Sep-03
13.8691,119.1915,5.0,mb,2014-07-01 09:11:23.350000+00:00,"92 km W of Cabra, Philippines",34.4,5.0-5.9,2014-Jul-01
13.5968,120.6535,5.4,mww,2014-06-25 11:52:03.030000+00:00,"17 km NNW of Wawa, Philippines",73.41,5.0-5.9,2014-Jun-25
17.3775,119.9499,5.4,mwb,2014-04-21 20:45:21.150000+00:00,"47 km WSW of Fuerte, Philippines",9.48,5.0-5.9,2014-Apr-21
18.1504,119.8445,5.0,mb,2014-02-18 12:35:57.280000+00:00,"68 km W of Callaguip, Philippines",19.05,5.0-5.9,2014-Feb-18
18.5285,120.4305,5.5,mww,2014-02-17 05:55:59.160000+00:00,"16 km WNW of Davila, Philippines",20.23,5.0-5.9,2014-Feb-17
13.5132,121.8534,5.1,mb,2014-01-26 17:57:47.560000+00:00,"2 km SW of Balanacan, Philippines",45.48,5.0-5.9,2014-Jan-26
18.0694,119.8555,5.0,mb,2014-01-23 19:54:59.620000+00:00,"64 km WNW of Pagsanahan Norte, Philippines",13.46,5.0-5.9,2014-Jan-23
14.42,119.0733,5.2,mb,2013-09-27 08:03:17.950000+00:00,"120 km WNW of Cabra, Philippines",29.65,5.0-5.9,2013-Sep-27
17.7,120.864,5.1,mwb,2013-05-30 02:24:17.070000+00:00,"17 km ENE of Dolores, Philippines",19.9,5.0-5.9,2013-May-30
14.92,123.325,5.3,mb,2013-05-01 05:37:59+00:00,"89 km NNE of Sabang Indan, Philippines",28.2,5.0-5.9,2013-May-01
15.852,121.702,5.1,mb,2013-04-04 02:27:07.050000+00:00,"19 km ENE of Suklayin, Philippines",47.4,5.0-5.9,2013-Apr-04
19.061,121.194,5.1,mb,2012-12-22 18:07:17.450000+00:00,"49 km N of Namuac, Philippines",38.9,5.0-5.9,2012-Dec-22
14.069,120.708,5.1,mb,2012-11-23 04:52:40.050000+00:00,"0 km NNW of Sabang, Philippines",208.6,5.0-5.9,2012-Nov-23
18.543,120.939,5.6,mwb,2012-10-07 03:14:24+00:00,"16 km E of Pagudpud, Philippines",40.4,5.0-5.9,2012-Oct-07
13.249,120.664,5.1,mb,2012-10-04 01:55:21.710000+00:00,"7 km ENE of Mamburao, Philippines",77.2,5.0-5.9,2012-Oct-04
13.847,120.723,5.0,mb,2012-09-29 14:12:01.540000+00:00,"2 km E of Hukay, Philippines",154.0,5.0-5.9,2012-Sep-29
15.593,119.563,5.9,mww,2012-06-16 22:18:47.470000+00:00,"37 km WSW of Bolitoc, Philippines",28.0,5.0-5.9,2012-Jun-16
13.57,120.519,5.3,mb,2012-03-08 20:03:17.230000+00:00,"16 km NE of Harrison, Philippines",49.4,5.0-5.9,2012-Mar-08
13.592,120.556,5.1,mb,2012-03-08 15:30:27.190000+00:00,"20 km NE of Harrison, Philippines",49.5,5.0-5.9,2012-Mar-08
12.354,123.7,5.6,mwc,2012-03-05 23:06:30.880000+00:00,"5 km ENE of Mobo, Philippines",37.3,5.0-5.9,2012-Mar-05
13.386,124.586,5.3,mwb,2012-01-28 00:17:11.110000+00:00,"39 km SE of Bato, Philippines",35.0,5.0-5.9,2012-Jan-28
13.188,120.64,5.2,mwc,2011-12-23 04:27:15.490000+00:00,"6 km SE of Mamburao, Philippines",70.5,5.0-5.9,2011-Dec-23
15.354,119.216,5.0,mwc,2011-11-30 01:27:45.140000+00:00,"74 km W of Palauig, Philippines",10.0,5.0-5.9,2011-Nov-30
15.455,118.999,6.0,mww,2011-11-30 00:27:06.990000+00:00,"97 km W of Palauig, Philippines",9.0,6.0-6.9,2011-Nov-30
13.811,120.049,5.0,mwc,2011-10-19 11:29:31.630000+00:00,"5 km SW of Tagbak, Philippines",47.7,5.0-5.9,2011-Oct-19
18.222,119.369,5.0,mwc,2011-09-16 11:52:17.170000+00:00,"118 km WNW of Pagsanahan Norte, Philippines",8.4,5.0-5.9,2011-Sep-16
13.339,120.955,5.3,mwc,2011-08-12 02:29:28.560000+00:00,"12 km SSW of San Teodoro, Philippines",162.8,5.0-5.9,2011-Aug-12
14.947,120.043,5.9,mww,2011-07-25 17:15:40.810000+00:00,"Luzon, Philippines",35.0,5.0-5.9,2011-Jul-25
13.472,125.324,5.2,mwc,2011-06-29 20:51:56.550000+00:00,"94 km NNE of Cabodiongan, Philippines",30.7,5.0-5.9,2011-Jun-29
13.595,120.754,5.7,mww,2011-05-22 16:42:24.480000+00:00,"14 km WSW of Tingloy, Philippines",148.6,5.0-5.9,2011-May-22
17.188,121.716,5.1,mwc,2011-05-21 13:08:04.480000+00:00,"4 km NW of Santo Domingo, Philippines",35.4,5.0-5.9,2011-May-21
18.911,121.321,5.0,mwc,2011-04-19 05:30:37.730000+00:00,"37 km NNE of Namuac, Philippines",40.4,5.0-5.9,2011-Apr-19
13.872,120.126,5.2,mwc,2011-04-08 18:29:20.330000+00:00,"1 km N of Lubang, Philippines",64.4,5.0-5.9,2011-Apr-08
13.915,120.566,5.5,mwb,2011-03-21 10:36:50.060000+00:00,"6 km W of Talisay, Philippines",101.8,5.0-5.9,2011-Mar-21
18.994,121.246,6.0,mww,2011-03-20 08:26:09.580000+00:00,"43 km NNE of Namuac, Philippines",27.0,6.0-6.9,2011-Mar-20
13.735,120.739,5.0,mb,2011-03-10 19:06:08.700000+00:00,"12 km SSE of Hukay, Philippines",103.3,5.0-5.9,2011-Mar-10
18.703,121.447,5.3,mwc,2011-03-09 17:57:27.260000+00:00,"25 km NE of Santa Cruz, Philippines",61.4,5.0-5.9,2011-Mar-09
14.127,120.648,5.2,mwc,2011-02-22 02:10:24.490000+00:00,"3 km S of Bulihan, Philippines",140.9,5.0-5.9,2011-Feb-22
14.923,119.868,5.5,mwc,2010-11-10 10:30:15.660000+00:00,"22 km W of San Nicolas, Philippines",21.0,5.0-5.9,2010-Nov-10
12.736,123.054,5.8,mwc,2010-11-05 16:40:36.920000+00:00,"24 km WSW of Mabiton, Philippines",10.0,5.0-5.9,2010-Nov-05
12.859,122.849,5.0,mwc,2010-11-05 14:04:30.200000+00:00,"28 km SSW of San Rafael, Philippines",20.8,5.0-5.9,2010-Nov-05
12.748,123.004,5.1,mwc,2010-11-03 22:24:51.200000+00:00,"29 km WSW of Mabiton, Philippines",56.8,5.0-5.9,2010-Nov-03
12.878,124.819,5.2,mwc,2010-10-20 07:12:35.250000+00:00,"34 km NW of Cabodiongan, Philippines",60.2,5.0-5.9,2010-Oct-20
13.011,124.784,5.0,mwc,2010-09-29 02:19:01.870000+00:00,"47 km NW of Cabodiongan, Philippines",53.7,5.0-5.9,2010-Sep-29
13.021,125.081,5.0,mwc,2010-09-28 05:06:29.060000+00:00,"39 km N of Cabodiongan, Philippines",35.0,5.0-5.9,2010-Sep-28
17.764,119.392,5.1,mwb,2010-06-11 02:25:15.990000+00:00,"102 km W of Puro Pinget, Philippines",24.8,5.0-5.9,2010-Jun-11
13.502,122.876,5.2,mwc,2010-04-29 16:46:46.230000+00:00,"9 km SW of Dalupaon, Philippines",42.3,5.0-5.9,2010-Apr-29
16.293,119.69,5.0,mwc,2010-04-12 21:29:24.230000+00:00,"Luzon, Philippines",52.3,5.0-5.9,2010-Apr-12
13.364,125.183,5.0,mwc,2010-03-26 18:17:09.810000+00:00,"78 km N of Cabodiongan, Philippines",5.9,5.0-5.9,2010-Mar-26
13.827,120.071,6.0,mwc,2010-03-25 05:29:24.720000+00:00,"2 km SW of Tagbak, Philippines",16.0,6.0-6.9,2010-Mar-25
18.451,120.742,5.9,mwb,2010-03-22 19:58:13.040000+00:00,"9 km SSW of Bangui, Philippines",32.0,5.0-5.9,2010-Mar-22
18.182,122.399,5.8,mwc,2010-03-02 02:51:21.310000+00:00,"Luzon, Philippines",17.0,5.0-5.9,2010-Mar-02
